Date	Latitude	Longitude	Type
01/01/2019 12:29:00 AM	42.00370451	-87.659317195	BATTERY
01/01/2019 08:58:00 PM	41.743758645	-87.562465304	ROBBERY
01/02/2019 11:00:00 PM	41.69410476	-87.6121956	MOTOR VEHICLE THEFT
01/01/2019 09:45:00 PM	41.846801978	-87.623527134	THEFT
01/01/2019 11:40:00 AM	41.866044203	-87.734201874	ASSAULT
01/03/2019 08:05:00 PM	41.866184544	-87.724361483	CRIMINAL TRESPASS
01/02/2019 03:17:00 PM	41.909797796	-87.733025085	BATTERY
01/03/2019 09:00:00 PM	41.915208269	-87.641151174	THEFT
01/01/2019 05:35:00 AM	41.793810528	-87.654006786	BATTERY
01/01/2019 11:40:00 PM	41.929432653	-87.678768226	WEAPONS VIOLATION
01/03/2019 08:00:00 PM	41.958051102	-87.681490218	THEFT
01/03/2019 03:30:00 AM	41.748854786	-87.613653676	ROBBERY
01/01/2019 05:00:00 PM	41.893623014	-87.765347251	THEFT
01/01/2019 09:30:00 PM	41.779376483	-87.669656756	CRIMINAL DAMAGE
01/03/2019 03:00:00 PM	41.962397627	-87.6609771	THEFT
01/02/2019 11:42:00 AM	41.911068362	-87.641794743	THEFT
01/03/2019 08:52:00 AM	41.695803715	-87.657378877	OTHER OFFENSE
01/02/2019 01:00:00 AM	41.931986697	-87.667173006	BATTERY
01/03/2019 03:00:00 PM	41.79798374	-87.723294914	BATTERY
01/03/2019 06:00:00 PM	41.703627465	-87.703698548	BATTERY
01/03/2019 11:00:00 AM	41.778682138	-87.636285946	THEFT
01/01/2019 07:00:00 PM	41.775303847	-87.704270138	ASSAULT
01/02/2019 12:00:00 PM	41.944694597	-87.793513983	BURGLARY
01/01/2019 11:30:00 PM	41.980682315	-87.776869336	THEFT
01/01/2019 01:50:00 AM	41.872894484	-87.627560076	BATTERY
01/03/2019 07:24:00 PM	41.851421554	-87.732914213	NARCOTICS
01/02/2019 01:44:00 PM	41.78386859	-87.644890262	WEAPONS VIOLATION
01/02/2019 12:00:00 AM	41.738423431	-87.55631131	DECEPTIVE PRACTICE
01/02/2019 02:00:00 PM	41.951578099	-87.688397568	DECEPTIVE PRACTICE
01/02/2019 03:42:00 PM	41.751145951	-87.573536002	BATTERY
01/03/2019 10:00:00 PM	41.919239633	-87.779214919	BATTERY
01/03/2019 11:01:00 AM	41.750452717	-87.600314694	WEAPONS VIOLATION
01/02/2019 12:35:00 AM	41.769299904	-87.568226417	MOTOR VEHICLE THEFT
01/03/2019 07:05:00 PM	41.883253915	-87.657657836	THEFT
01/01/2019 01:10:00 PM	41.968529752	-87.698860976	THEFT
01/02/2019 05:00:00 PM	41.987287784	-87.790082952	DECEPTIVE PRACTICE
01/03/2019 04:30:00 PM	41.793613027	-87.668563785	CRIMINAL DAMAGE
01/01/2019 12:52:00 AM	41.747183648	-87.600219961	BATTERY
01/01/2019 11:00:00 PM	41.725090566	-87.594859084	THEFT
01/03/2019 04:00:00 PM	41.70992868	-87.621460398	BURGLARY
01/01/2019 12:00:00 PM	41.895589775	-87.769068924	BATTERY
01/01/2019 09:44:00 AM	41.726445153	-87.615471732	BATTERY
01/03/2019 01:55:00 PM	41.684388036	-87.630063309	CRIMINAL TRESPASS
01/03/2019 03:30:00 PM	41.738140954	-87.589089039	BURGLARY
01/01/2019 05:45:00 PM	41.791978155	-87.622394131	BATTERY
01/03/2019 01:38:00 PM	41.892568305	-87.637058091	THEFT
01/01/2019 07:35:00 AM	41.751928332	-87.644077264	BATTERY
01/01/2019 05:00:00 PM	41.907050205	-87.663450096	THEFT
01/03/2019 05:44:00 PM	41.862504887	-87.706077674	ASSAULT
01/02/2019 11:30:00 PM	41.745881979	-87.597079699	BATTERY
01/01/2019 09:25:00 PM	41.874060099	-87.705924314	THEFT
01/02/2019 11:00:00 AM	41.9551112	-87.758375274	DECEPTIVE PRACTICE
01/03/2019 03:00:00 PM	41.964231677	-87.649978542	DECEPTIVE PRACTICE
01/01/2019 02:36:00 PM	41.809783162	-87.671081655	WEAPONS VIOLATION
01/01/2019 10:00:00 PM	41.847691881	-87.691761656	CRIMINAL DAMAGE
01/01/2019 07:32:00 PM	41.751281494	-87.563800882	NARCOTICS
01/02/2019 01:30:00 AM	41.80171934	-87.630703621	NARCOTICS
01/02/2019 04:00:00 AM	41.961862599	-87.719281807	THEFT
01/01/2019 05:00:00 PM	41.938048529	-87.656822439	THEFT
01/01/2019 03:00:00 AM	41.898516209	-87.637246929	BATTERY
01/03/2019 07:47:00 PM	41.859036492	-87.709668661	OTHER OFFENSE
01/03/2019 05:33:00 AM	41.773600901	-87.628385732	BATTERY
01/02/2019 04:24:00 PM	41.873807522	-87.69445629	THEFT
01/02/2019 06:23:00 PM	41.85384608	-87.715063469	ROBBERY
01/03/2019 10:05:00 AM	41.824646927	-87.692997062	BATTERY
01/02/2019 03:46:00 PM	41.900797191	-87.625214226	NARCOTICS
01/01/2019 02:30:00 AM	41.855916564	-87.729755737	MOTOR VEHICLE THEFT
01/01/2019 07:10:00 PM	41.931093442	-87.66835463	ROBBERY
01/02/2019 07:45:00 PM	41.845524863	-87.703835964	NARCOTICS
01/02/2019 02:30:00 PM	41.882381731	-87.629412971	THEFT
01/03/2019 12:05:00 AM	41.972781689	-87.805923527	THEFT
01/03/2019 12:00:00 PM	41.941483699	-87.704010389	OFFENSE INVOLVING CHILDREN
01/03/2019 09:00:00 AM	41.961158296	-87.652309344	MOTOR VEHICLE THEFT
01/01/2019 02:29:00 AM	41.675346776	-87.618711939	ASSAULT
01/02/2019 07:00:00 AM	41.871648155	-87.723806615	THEFT
01/01/2019 12:10:00 PM	41.918689792	-87.708966903	OTHER OFFENSE
01/01/2019 12:02:00 AM	41.731168542	-87.589224482	CRIMINAL DAMAGE
01/03/2019 03:45:00 PM	41.859687782	-87.733538039	ASSAULT
01/03/2019 04:08:00 PM	41.908323469	-87.642140308	THEFT
01/03/2019 02:30:00 PM	41.916380972	-87.747322071	ROBBERY
01/01/2019 01:30:00 AM	41.875272573	-87.624251314	THEFT
01/01/2019 04:27:00 PM	41.895934355	-87.711451163	NARCOTICS
01/03/2019 09:15:00 PM	41.977037851	-87.662367738	CRIMINAL DAMAGE
01/01/2019 05:10:00 AM	41.875229772	-87.686253982	MOTOR VEHICLE THEFT
01/01/2019 05:00:00 AM	41.806126147	-87.657606913	BATTERY
01/01/2019 03:50:00 AM	41.792653331	-87.766496233	CRIMINAL DAMAGE
01/01/2019 10:00:00 PM	1184531.0	1850174.0	BATTERY
01/01/2019 05:25:00 AM	41.784971924	-87.614445236	WEAPONS VIOLATION
01/01/2019 05:21:00 PM	41.966053999	-87.657890403	ASSAULT
01/03/2019 11:45:00 AM	41.773955957	-87.73553991	BATTERY
01/02/2019 12:11:00 PM	41.757892926	-87.609033624	OTHER OFFENSE
01/03/2019 01:20:00 PM	41.745866673	-87.55885262	OFFENSE INVOLVING CHILDREN
01/03/2019 07:54:00 PM	41.749876545	-87.682838316	BATTERY
01/02/2019 08:20:00 AM	41.787205643	-87.598807138	MOTOR VEHICLE THEFT
01/01/2019 10:30:00 PM	41.803614434	-87.732033041	THEFT
01/01/2019 08:29:00 PM	41.897895128	-87.624096605	THEFT
01/02/2019 01:20:00 PM	41.963070794	-87.655984213	THEFT
01/02/2019 12:57:00 AM	41.736891466	-87.554190053	WEAPONS VIOLATION
01/02/2019 08:08:00 AM	41.775815434	-87.615515359	ASSAULT
01/02/2019 11:29:00 PM	41.67807067	-87.619838547	OTHER OFFENSE
01/02/2019 01:10:00 AM	41.886790905	-87.648336557	CRIMINAL DAMAGE
01/02/2019 11:30:00 PM	41.926927242	-87.752219592	ASSAULT
01/01/2019 12:25:00 AM	41.771423151	-87.670068676	WEAPONS VIOLATION
01/01/2019 10:45:00 PM	41.869703985	-87.71791397	CRIMINAL DAMAGE
01/01/2019 05:00:00 PM	41.945446109	-87.6483523	THEFT
01/02/2019 02:10:00 AM	42.017348102	-87.707200532	OTHER OFFENSE
01/03/2019 02:30:00 AM	41.784199093	-87.665548083	BATTERY
01/03/2019 09:58:00 PM	41.699151043	-87.620909169	PROSTITUTION
01/01/2019 05:28:00 PM	41.718086591	-87.599495854	BATTERY
01/01/2019 04:00:00 AM	41.86625461	-87.718967674	THEFT
01/01/2019 02:15:00 AM	41.893676531	-87.635628328	LIQUOR LAW VIOLATION
01/01/2019 07:35:00 PM	41.830407799	-87.67371278	ROBBERY
01/01/2019 12:01:00 AM	41.725661136	-87.575433532	ROBBERY
01/03/2019 07:20:00 PM	41.746679168	-87.552796485	CRIMINAL DAMAGE
01/02/2019 04:00:00 PM	41.778340981	-87.703122242	THEFT
01/03/2019 11:02:00 AM	41.885720961	-87.747055152	NARCOTICS
01/01/2019 11:00:00 PM	41.772972076	-87.644610871	ASSAULT
01/01/2019 12:53:00 AM	41.875355342	-87.629229381	BATTERY
01/02/2019 12:00:00 PM	41.911221387	-87.676265044	THEFT
01/02/2019 06:00:00 PM	41.939106174	-87.64775857	BURGLARY
01/03/2019 06:45:00 PM	41.770995109	-87.591117851	THEFT
01/01/2019 04:00:00 AM	41.749566316	-87.561347741	THEFT
01/03/2019 08:00:00 AM	41.806379228	-87.684365088	THEFT
01/03/2019 11:24:00 AM	41.882424852	-87.624377884	THEFT
01/02/2019 05:20:00 PM	41.989431234	-87.669550197	DECEPTIVE PRACTICE
01/01/2019 03:52:00 PM	41.90352381	-87.66674162	THEFT
01/03/2019 07:36:00 PM	41.886843497	-87.765098817	THEFT
01/01/2019 01:08:00 PM	41.668143871	-87.640385695	WEAPONS VIOLATION
01/02/2019 11:26:00 PM	41.77693407	-87.659288265	NARCOTICS
01/03/2019 09:28:00 AM	41.892569522	-87.622032647	CRIMINAL TRESPASS
01/01/2019 09:40:00 PM	41.878582195	-87.746327253	ASSAULT
01/01/2019 07:55:00 AM	41.854555771	-87.707770429	ASSAULT
01/03/2019 10:15:00 AM	41.721895856	-87.613841024	ASSAULT
01/02/2019 04:30:00 AM	41.697111393	-87.640104121	THEFT
01/01/2019 06:20:00 PM	41.883550783	-87.705618479	NARCOTICS
01/02/2019 02:53:00 PM	41.660052743	-87.642532776	CRIMINAL DAMAGE
01/01/2019 10:00:00 PM	41.934673099	-87.784913934	THEFT
01/01/2019 03:50:00 AM	41.794641582	-87.62529846	INTERFERENCE WITH PUBLIC OFFICER
